date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:14	11599/11599	---MCZ	200	added ('OK')	text/plain	etag:W/%2264b77538-f28d%22	https://www.inversebible.org/robots.txt		(from )
12:41:15	40949/40949	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Nov%202023%2019:41:09%20GMT	https://www.inversebible.org/	C:/My%20Web%20Sites/seventh-column/www.inversebible.org/index.html	(from )
12:41:17	375804/375804	---M--	200	added ('OK')	application/octet-stream	etag:%2264b777be-5bbfc%22	https://www.inversebible.org/assets/template/fonts/NotoSerif-Regular.ttf	C:/My%20Web%20Sites/seventh-column/www.inversebible.org/assets/template/fonts/NotoSerif-Regular.ttf	(from https://www.inversebible.org/)
12:41:17	350192/350192	---M--	200	added ('OK')	application/octet-stream	etag:%2264b777be-557f0%22	https://www.inversebible.org/assets/template/fonts/NotoSerif-Italic.ttf	C:/My%20Web%20Sites/seventh-column/www.inversebible.org/assets/template/fonts/NotoSerif-Italic.ttf	(from https://www.inversebible.org/)
12:41:19	360440/360440	---M--	200	added ('OK')	application/octet-stream	etag:%2264b777be-57ff8%22	https://www.inversebible.org/assets/template/fonts/NotoSerif-BoldItalic.ttf	C:/My%20Web%20Sites/seventh-column/www.inversebible.org/assets/template/fonts/NotoSerif-BoldItalic.ttf	(from https://www.inversebible.org/)
12:41:20	395916/395916	---M--	200	added ('OK')	application/octet-stream	etag:%2264b777be-60a8c%22	https://www.inversebible.org/assets/template/fonts/NotoSerif-Bold.ttf	C:/My%20Web%20Sites/seventh-column/www.inversebible.org/assets/template/fonts/NotoSerif-Bold.ttf	(from https://www.inversebible.org/)
12:41:21	556216/556216	---M--	200	added ('OK')	application/octet-stream	etag:%2264b777be-87cb8%22	https://www.inversebible.org/assets/template/fonts/NotoSans-Regular.ttf	C:/My%20Web%20Sites/seventh-column/www.inversebible.org/assets/template/fonts/NotoSans-Regular.ttf	(from https://www.inversebible.org/)
12:41:21	403724/403724	---M--	200	added ('OK')	application/octet-stream	etag:%2264b777be-6290c%22	https://www.inversebible.org/assets/template/fonts/NotoSans-Italic.ttf	C:/My%20Web%20Sites/seventh-column/www.inversebible.org/assets/template/fonts/NotoSans-Italic.ttf	(from https://www.inversebible.org/)
12:41:22	557380/557380	---M--	200	added ('OK')	application/octet-stream	etag:%2264b777be-88144%22	https://www.inversebible.org/assets/template/fonts/NotoSans-Bold.ttf	C:/My%20Web%20Sites/seventh-column/www.inversebible.org/assets/template/fonts/NotoSans-Bold.ttf	(from https://www.inversebible.org/)
12:41:23	779137/779137	---MCZ	200	added ('OK')	text/css	etag:W/%2264e5c673-bf6f3%22	https://cdn.adventist.org/alps/3/3.11.0/css/main.css	C:/My%20Web%20Sites/seventh-column/cdn.adventist.org/alps/3/3.11.0/css/main.css	(from https://www.inversebible.org/)
12:41:24	17105/17105	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264e5c67f-42d1%22	https://cdn.adventist.org/alps/3/3.11.0/js/head-script.min.js	C:/My%20Web%20Sites/seventh-column/cdn.adventist.org/alps/3/3.11.0/js/head-script.min.js	(from https://www.inversebible.org/)
12:41:26	31413/31413	---MCZ	200	added ('OK')	text/css	etag:W/%2264cbccea-7ab5%22	https://cdn.316creative.com/assets/template/css/local.css	C:/My%20Web%20Sites/seventh-column/cdn.316creative.com/assets/template/css/local.css	(from https://www.inversebible.org/)
12:41:26	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2001%20Nov%202023%2019:41:21%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/seventh-column/www.googletagmanager.com/gtm.a5445.delayed	(from https://www.inversebible.org/)
12:41:27	143486/143486	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Nov%202023%2019:41:22%20GMT	https://www.inversebible.org/site-map-inverse	C:/My%20Web%20Sites/seventh-column/www.inversebible.org/site-map-inverse.html	(from https://www.inversebible.org/)
12:41:28	38155/38155	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Nov%202023%2019:41:23%20GMT	https://www.inversebible.org/contact-us	C:/My%20Web%20Sites/seventh-column/www.inversebible.org/contact-us.html	(from https://www.inversebible.org/)
